safegraph_id,horizontal_accuracy,longitude,latitude,id_type,utc,geo_hash,x,y
a3aa1182ffcc379f93315f0a85b9585278521fccb6ce9db30417a176e02c6c5c,10.0,-66.1061,18.3821,idfa,1504273068,de2bxdqgz,234580,260769
e835a83af0f03c4007b0402ce838e680cc5dbc2c3198df99804cc552439d96ff,10.0,-66.9317,17.9665,idfa,1504273726,de0qhyty3,147210,214811
b064ba93decf73e95bb903d95efb33c994c49756d07183bfa6984dc189771170,5.0,-66.0415,18.2602,idfa,1504273781,de1pchnj3,241436,247290
67dd0a0ee68213c07b397915d8858bba7d41e0cc1eec6d6c6c563f6153e78981,23.937,-65.9443,18.3769,aaid,1504273772,de30e3kv4,251680,260232
30eb3853cbb6d13ca07f31d3220e3b7f576ae89abf23bac9cf2a32500855edd6,25.77,-66.1168,18.4612,aaid,1504273331,de2cp2z0q,233434,269522
1ef776ec5bd82e4b0ef15c06a11490aec67676021eb46e0f1f9e54d8ce193d91,73.8983,-66.0416,18.4466,idfa,1504273078,de30cnjfz,241381,267922
e095edd0fb8444ae7ec74689d8fb0b66d73172689861c51bf86b9cad825aa35a,12.0,-65.8989,18.2367,idfa,1504272642,de1psrvuk,256523,244728
6ede94260ada6b07b16e0a67d9413a9ae9d3182f0ba9a88225a3a42aee00ca1d,39.0,-67.1879,18.378,aaid,1504273955,de20x1e72,120260,260449
45f7283b745f95a60169f71cca1ce7cb2630eae861f060f41aead0449bca0a60,5.0,-67.1517,18.2092,idfa,1504274256,de0pxfvs7,124012,241750
5d46e8c0a368b9d3679637774341e914e283b7fcfe2d108ab37b6ef05a91f32f,10.0,-66.3685,18.206,idfa,1504273018,de0z9drcv,206858,241248
b8e426aef4d802208eaf1403dfdb1ee597e9a4a3858df665fbb0147eaaca03df,24.0,-66.6289,18.0057,idfa,1504271650,de0w7vf6d,179289,219089
5b9ee0173cd719d00f32d3750d68f101faba9e9d403347b2dddd673dc17c6cf7,7.6,-66.0693,18.4466,aaid,1504273580,de30bw1g1,238455,267916
3684ee93a4d7427da187e7c8bd1baf7b1be18e2ebe379521c9ea26be139dfd0e,65.0,-66.1153,18.4671,idfa,1504272876,de2cp9b69,233592,270176
8555866f7fd1858c9f3eff5d53f319a9f1cdbc737bf35e21b100b0af557372a7,75.0,-66.304,18.4695,idfa,1504273176,de2c54qbk,213660,270417
ba054c0cce4c474118d2bb460f3bec0808ebee3fb2f89ad8166fc7b539c51448,8.0,-66.0662,18.383,idfa,1504273496,de308ds06,238796,260877
7712d9ca9fda8b185e511fe2b2f79203d4c877dfcb6c1845a7aae0b8ecb946fe,42.1389,-66.0413,18.2195,idfa,1504273417,de1p9hy0m,241466,242786
43793ea2b0a1e9aaea6c13d48841a109c3391ba31c888d02d13e102be75e56f6,32.5059,-65.9914,18.383,idfa,1504273616,de30d6d89,246701,260894
7061d9aa84b9bedad8c9163e224bc5301f728a5311110361fd415f2a798c35a3,5.0,-66.1392,18.1219,idfa,1504271685,de0znfyzt,231129,231964
5e732683174ec1a0d9689c037beb1b2237b8f8118810ad6d0d1bc09b2ca538d8,16.687,-67.156,18.0962,aaid,1504273762,de0nzy63z,123508,229245
ed227dd8b49c8dd69f059361f4e9f2007e6ba58fe77ba6d8486a595f5de31131,4.551,-66.0768,18.402,aaid,1504273046,de308mur4,237672,262978
ce2d8e72a4afb16bb445f7b4abf17fe1fdada50e064c148944614c11839a752f,65.0,-65.6365,18.3451,idfa,1504273318,de3267sup,284222,256826
c4e29d3220417287d92035d449fe746feab3f0a383dba1c01eb24f6a20959ae8,5.0,-66.0288,18.4435,idfa,1504273527,de30cmx34,242734,267582
7c44934da2744f440a58a04113cb162a209577e106b1cfaa7e7bef9fd2fff9b5,5.0,-66.071,18.3424,idfa,1504271782,de302e0se,238298,256382
3260c4561aa7cf630782d9182423774ad3bdad43df02cdb69d0ee8d7a3f0c12e,65.0,-65.8383,18.1458,idfa,1504274059,de1pjz64b,262965,234686
ed9dd6fef2a01a8e9228a9a0b0f36dc245e2497c30f8ed5b2009b5e25b75a819,16.0,-66.1055,18.4094,idfa,1504271838,de2bxxr6t,234638,263791
bcb366849bebfd3a8d5adeb031232a62fc9612b55a34a8d7675ca2f3b8c2f05f,6.0,-66.1269,18.4228,idfa,1504274071,de2bz1zbs,232375,265270
1f90f279418c70e944403f0105a403e8b75c505e1c5abb7fb4cdd5fdcdd38372,5.0,-66.0998,18.4631,idfa,1504273888,de2cpc5ee,235230,269736
b86aa5cdc48431c31fc0d264837e44cf19f812d237b64072df4748b6936beb08,8.0,-66.3151,18.1773,aaid,1504271926,de0z6vnf6,212509,238075
bd42805494abd5d7b557952cb8477129f860dafbcdb6338b7885d9f0dd5865a1,5.0,-66.1473,18.3896,idfa,1504273496,de2bwg8zr,230225,261592
b4ccdc7df1cafb2aba064094c2762242eea2ec65b36fd6826755a56c1a13de9d,5.0,-66.0597,18.4363,idfa,1504273716,de30bu0z0,239471,266778
c2db83586dea64f82c0e1cad3e902c3d8f1d43e6a8ad4107a4b862c27596f594,65.0,-66.0702,18.41,idfa,1504274305,de308x3ju,238368,263865
fac9a281f387b5726a1caf35c31e3b7bb08db07980e16c64a42ac35c9e9dbf25,6.0,-65.8298,18.1509,idfa,1504271106,de1pq020x,263862,235254
2acd42f362c6e05904a939301245d446efe3a90b01e68ef9d34e232244a2faa8,24.324,-67.1013,18.493,aaid,1504273238,de231nd3c,129458,273142
57a3f9ff50472140c2e7874469266bdc5a8f6f917a47bd6165ba99d450c293e3,12.0,-66.0726,18.1714,aaid,1504274037,de1p27zru,238166,237455
f07d3f2e75abba296615453be44e42a9d201c972461a8f92813f4e9d8116e7ab,3.9,-66.1101,17.9805,aaid,1504272945,de0yr9hpg,234236,216319
a61fa9b1ae28e9147cb3e9758844e14a2347089f83e24031adeed06d048eb7a4,3.9,-66.0263,18.4421,aaid,1504273512,de30ct30u,242998,267427
ecff1248eb5be0bbdadeeab38a1c75192e034a41c659e457e5231da4cd8b8640,23.816,-66.7431,18.465,aaid,1504272629,de2911rns,167281,269942
