safegraph_id,horizontal_accuracy,longitude,latitude,id_type,utc,geo_hash,x,y
f75e2c8cbc18ffee7a711b014cb929449fbe9b0c3a8245057f055ce5f132cfbe,5.0,-66.0406,18.4082,idfa,1504269052,de309pnet,241496,263672
8c85c759177fa852191ce54a661bedd905910e4f62c22e67aeb70363a92ff5cd,32.0,-66.0329,18.4455,idfa,1504269031,de30cmuk9,242300,267802
8efecf09b525df2e129091ae18ec55cb2512d4ab67c87dfaee4e16ec75fcbe7d,5.0,-66.0795,18.3304,idfa,1504268563,de3022fqs,237402,255052
c64ef8e9cf3864a17bba08b1931531afab9849451b1d4ba5fcae2f6feb2ec074,22.0,-67.1365,18.1371,aaid,1504267901,de0r0m8xv,125589,233764
e83743f777afb40624a9425ecf2359beadc60d52c4539ee404edcd655f2da073,4.0,-65.9652,18.3676,aaid,1504269730,de306ztxh,249474,259197
e7ba95fd42a61db971c02cd6d0a42a38ccc713c045605938bac9feee11c53538,12.0,-66.1099,18.4179,idfa,1504270059,de2bz8uhn,234172,264731
b9b3f7089e1b216ed0d9ed43243bb6901bda217f27350b95c0c181a9a9e0d9aa,13.653,-66.2398,18.4205,aaid,1504269127,de2bu9me7,220447,264999
3efac57d41fdce4c1f29cea4eda620a8b49232d4176ca3aff3dee800f5d64c60,12.0,-66.07,18.3625,idfa,1504268381,de302wc3d,238399,258607
8d39b8b2bd9ee153028bc33d17a11dbfed53941e73ff13d383f8882f1e8b41ee,65.0,-66.5935,18.0305,idfa,1504267877,de0wsdk56,183040,221830
5346d79e2d204724c398a9374c9089dca9b3fe4e8b69a66c8111092e1538a267,64.0,-66.1979,18.399,aaid,1504267216,de2bttknj,224877,262625
6851a9ad53ac4b97b5a30e5606f23f9cb7c66accee10f34ab9438a7182cb59ac,8.0,-66.5976,18.0274,aaid,1504268156,de0ws9c17,182606,221487
745ce06e5b84249188753b210c12a00f16e21c0213fb7b45f6fce08a47bc6b63,71.0,-65.6607,18.3401,idfa,1504267899,de323feqf,281667,256262
a23f03cc509c15d1fc8143a911a44d20bfd518da7119e5cb1e6544e53ee2a7e8,34.4,-66.1202,18.3119,aaid,1504270134,de2bpmsf8,233103,252997
3f449b9742fa7cc639f2397d3585b9d5ec0867081698ef25111a8c9126efab10,65.0,-65.8946,18.1805,idfa,1504270209,de1pkt9j0,256996,238509
193b75020a4571f4f95a4e2d5811637272bcbb14abaa6e7106951203b9dbf1af,50.0,-66.1407,18.374,idfa,1504270341,de2bwbvu6,230925,259867
3042ce081ac245f6c1ca8f73e6c2f02d73a9ab120f1add974c9242e1adfeecaf,30.0,-65.9798,18.2553,idfa,1504269146,de1pfe708,247962,246763
ed9dd6fef2a01a8e9228a9a0b0f36dc245e2497c30f8ed5b2009b5e25b75a819,65.0,-66.106,18.3624,idfa,1504267871,de2brwz0e,234595,258589
